Epoch,train_loss,val_loss,val_dice,val_iou
1,0.043690852877155475,0.029811930996342207,0.5171439484989719,0.4306401604856204
2,0.02539388423503564,0.02319659456565768,0.4940175020667725,0.4114350190376659
3,0.021194522326389142,0.019161445140041002,0.5559526026950691,0.4786431860313164
4,0.018404645235964946,0.016250528251872808,0.5598906096140644,0.47923698568571543
5,0.015285617272932681,0.02223086497014528,0.5810131926112166,0.49744751503359647
6,0.013902793050925519,0.012142448967498807,0.6467174238965868,0.5503275537703515
7,0.010980013450872777,0.010326811647929634,0.6942230856779658,0.6026454040821657
8,0.009825403097661955,0.008708115827905231,0.7414025531453077,0.655378165623175
9,0.009331709895069778,0.007949490503333113,0.7346945761412275,0.6475398170329257
10,0.008493218062359599,0.008024417748353427,0.7564993902577836,0.6746329886319012
